Artikel Oosterberg,Omschrijving,min,max,aantal
13169505,Peha WCD RA INB 1V WT DKS WD,4,10,4
13161504,Peha AFDEKRAAM 2V WIT IP44 STAND,10,30,2
12253006,Peha WCD RA INB 1V CR DKS WD,4,10,10
12257206,Peha AFDEKRAAM 2V CREME IP44 STAND,10,30,10
10041559,Peha SCHAK INB WISS,10,30,26
10041354,Peha SCHAK INB SERIE,10,20,15
10042105,Peha SCHAK INB KRUIS,10,20,9
10041800,Peha SCHAK INB WISS/WISS,10,20,19
10042008,Peha SCHAK INB WISS CTRL,5,10,9
10110106,Peha DIMMER INB LED 6-60W,3,10,0
10151461,Peha WCD RA INB 1V WT STEEK+KLEM,10,40,12
10005755,Peha AFD RAAM 1V IN LINE LEV WIT,10,30,49
10005756,Peha AFD RAAM 2V IN LINE LEV WIT,10,30,11
10005757,Peha AFD RAAM 3V IN LINE LEV WIT,10,20,23
10013449,Peha AFD RAAM 4V IN LINE LEV WIT,5,10,43
13058207,Peha WIP WISS R9010,10,20,22
13061003,Peha WIP SERIE R9010,10,20,30
13152203,Peha CENTR PL +KNOP DIMMER WIT,10,20,46
13153005,Peha CENTR PL TV WCD,5,20,3
10003530,Peha AFDEKPLT TBV 2V MODULAIRE WCD,10,20,20
13162403,Peha AFDEKKING BLIND,10,20,11
10240438,Peha WCD RA INB 1V CR STEEK,10,40,19
10011149,Peha AFD RAAM 1V IN LINE WIT,10,30,39
10011151,Peha AFD RAAM 2V IN LINE WIT,10,30,3
10011152,Peha AFD RAAM 3V IN LINE WIT,10,20,11
10013451,Peha AFD RAAM 4V IN LINE WIT,5,10,0
12061603,Peha WIP WISS R1013,10,20,27
12062901,Peha WIP SERIE R1013,10,20,39
12154903,Peha CENTR PL +KNOP DIMMER,10,20,15
12155500,Peha CENTR PL TV WCD,5,20,12
10003528,Peha AFDEKPLT TBV 2V MODULAIRE WCD,10,20,18
12158909,Peha CENTR.PL.BLIND,10,20,13
10103862,Peha WCD RA INB 1V BADORA 9010,10,20,10
10103858,Peha AFDEKRAAM 1V BADORA R9010,10,30,10
10103859,Peha AFDEKRAAM 2V BADORA R9010,10,30,10
10103860,Peha AFDEKRAAM 3V BADORA R9010,10,20,10
10103861,Peha AFDEKRAAM 4V BADORA R9010,5,10,10
10137503,Peha AFDEKRAAM 5V BADORA R9010,2,5,0
10103852,Peha WIP WISS BADORA R9010,10,20,10
10103857,Peha WIP SERIE BADORA R9010,10,20,11
10103883,Peha CENTR PL+KN DIM BADORA R9010,10,20,10
10103872,Peha CENTR PL 2V MJ BADORA R9010,10,20,9
10103869,Peha CENTR PL TV WCD BADORA R9010,5,10,9
10103851,Peha BLINDPLAAT BADORA R9010,10,20,10
12155101,Peha CENTR PL PTT WCD,5,10,11
12155705,Peha CENTR PL +KNOP JALOUZ DRAAI,2,5,4
12162000,Peha OPBOUWRAND 1V,4,10,0
13164007,Peha OPBOUWRAND 1V,4,10,2
10013452,Peha AFD RAAM 5V IN LINE WIT,2,5,0
12157503,Peha AFDEKRAAM 1V CREME STAND,10,30,23
12157708,Peha AFDEKRAAM 2V CREME STAND,10,30,33
12157902,Peha AFDEKRAAM 3V CREME STAND,10,20,20
12158100,Peha AFDEKRAAM 4V CREME STAND,5,10,22
12158305,Peha AFDEKRAAM 5V CREME STAND,2,5,20
13152807,Peha CENTR PL PTT WCD,5,10,10
13058401,Peha WIP WISS GLK R9010,4,10,9
13152408,Peha CENTR PL +KNOP JALOUZ DRAAI,2,5,2
19355807,UTPCOMMSCOPE MOD JACK AMP MJ4 0-1375191-2,10,25,12
10013450,Peha AFD RAAM 5V IN LINE LEV WIT,2,5,7
13161202,Peha AFDEKRAAM 1V WIT STAND,10,30,44
13161407,Peha AFDEKRAAM 2V WIT STAND,10,30,45
13161601,Peha AFDEKRAAM 3V WIT STAND,10,20,20
13161806,Peha AFDEKRAAM 4V WIT STAND,5,10,22
13162004,Peha AFDEKRAAM 5V WIT STAND,2,5,3
10041533,Peha DIMMER INB 400W WISS,2,6,7
10003518,Peha DRAAGFRAME TBV 2XMJ GEEL,10,20,14
10288549,Hirschmann COAX WCD INB FM/TV DIGT RET,5,10,13
10009205,Hirschmann COAX WCD INB FM/TV RIJG 15DB,5,10,15
10040200,Peha JALOUZ DRAAISCH 3ST 1P,1,1,1
10018170,ABB  Busch WCD RA OPB 1V WD OCEAN,3,10,6
10018172,ABB  Busch WCD RA OPB 2V WD VERT OCEAN,3,10,7
10018171,ABB  Busch WCD RA OPB 2V HOR WD OCEAN,3,10,6
10018158,ABB  Busch SCHAK OPB WISS STEEK OCEAN,5,10,12
10018161,ABB  Busch SCHAK OPB SERIE STEEK OCEAN,5,10,0
10018174,ABB  Busch COMB RA OPB WISS/WCD OCEAN,3,10,6
10073735,ABB  Busch WCD RA CPL INB F-MATZW,10,20,35
10073727,ABB  Busch AFDEKRAAM HOEKIG 1V F-MATZW,10,20,21
10073728,ABB  Busch AFDEKRAAM HOEKIG 2V F-MATZW,10,20,17
10073729,ABB  Busch AFDEKRAAM HOEKIG 3V F-MATZW,10,20,6
10073730,ABB  Busch AFDEKRAAM HOEKIG 4V F-MATZW,4,10,9
10073731,ABB  Busch AFDEKRAAM HOEKIG 5V F-MATZW,2,5,0
10178164,ABB  Busch WCD RA INB 1V SI-B,10,20,8
10178114,ABB  Busch AFDEKRAAM 1V SI-B,10,20,11
10178116,ABB  Busch AFDEKRAAM 2V SI-B,10,20,17
10178118,ABB  Busch AFDEKRAAM 3V SI-B,10,20,8
10178119,ABB  Busch AFDEKRAAM 4V SI-B,4,10,11
10178120,ABB  Busch AFDEKRAAM 5V SI-B,2,5,0
10016020,ABB  Busch WCD RA INB 1V SW SOLO,10,20,9
10031767,ABB  Busch AFDEKRAAM 1V TBV WANDG F-ST WT,10,20,17
10031786,ABB  Busch AFDEKRAAM 2V TBV WANDG F-ST WT,10,20,6
10031809,ABB  Busch AFDEKRAAM 3V TBV WANDG F-ST WT,10,20,9
10031831,ABB  Busch AFDEKRAAM 4V TBV WANDG F-ST WT,4,10,1
10031855,ABB  Busch AFDEKRAAM 5V TBV WANDG F-ST WT,2,5,1
15024008,ABB  Busch SCHAK INB WISS EXCL KLAUW STK,10,20,15
15023001,ABB  Busch SCHAK INB SERIE EXCL KLAUW STK,10,20,18
10035078,ABB  Busch SCHAK INB WISS/WISS STEEK,5,10,5
15026604,ABB  Busch PULSDR 1P MAAK INB,5,10,7
00002010,ABB  Busch DRAAGRING 2X MOD JACK ZWART,10,20,18
10190790,ABB  Busch DIMMER 100VA LED INB 250W/VA,4,10,1
10001269,ABB  Busch WCD RA INB 1V AW REFLEX,10,20,10
10002012,ABB  Busch AFDEKRAAM 1V R WIT,10,20,15
10002221,ABB  Busch AFDEKRAAM 2V R WIT,10,20,19
10000445,ABB  Busch AFDEKRAAM 3V R WIT,10,20,9
15429806,ABB  Busch AFDEKRAAM 4V R WIT,4,10,7
00002011,ABB  Busch AFDEKRAAM 5V R WIT,2,5,1
15424006,ABB  Busch WCD RA INB 1V CR SI,10,20,19
15428800,ABB  Busch AFDEKRAAM 1V SI,10,20,7
15429202,ABB  Busch AFDEKRAAM 2V SI,10,20,13
15429504,ABB  Busch AFDEKRAAM 3V SI,10,20,17
15429709,ABB  Busch AFDEKRAAM 4V SI,4,10,5
15429903,ABB  Busch AFDEKRAAM 5V SI,2,5,0
17443300,Corodex MONTAGEPL TBV PERILEX,5,10,9
10075028,Abl WCD OPB PERILEX 16A,5,10,3
10075027,Abl WCD INB PERILEX 16A,5,10,7
10075022,Abl STEKER PERILEX RECHT 16A,5,10,0
10075020,Abl STEKER PERILEX HAAKS 16A,5,10,4
10013965,Power Plex AANSLUITSN PERIL 70G2M RMCLZ,2,6,0
10073721,ABB  Busch WIP WIS/KRUIS/PULS F-MATZW,5,10,13
10073719,ABB  Busch WIP SERIE WIS/WIS F-MATZW,5,10,6
10073750,ABB  Busch CPL+KNOP DRAAIDIM F-MATZW,5,10,7
10073711,ABB  Busch CPL ANTENNE F-MATZW,5,10,10
10073705,ABB  Busch CPL 2XMJ SCHUIFJES F-MATZW,5,10,6
10073696,ABB  Busch CPL BLIND F-MATZW,5,10,9
10178122,ABB  Busch WIP WISS KRUIS SI-B,10,20,19
10178125,ABB  Busch WIP SERIE SI-B,10,20,10
10178219,ABB  Busch CPL+KNOP V DRAAIDIM SI-B,5,10,11
10178089,ABB  Busch CPL ANTENNE SI-B,5,10,9
10178144,ABB  Busch CPL 2X MOD JACK SCHUIFJES SI-B,5,10,12
10178086,ABB  Busch CPL BLIND+DRAAGRAAM SI-B,5,10,12
10016021,ABB  Busch WIP WISS SOLO/FUT S-WIT,10,20,7
10016412,ABB  Busch WIP SERIE S-WIT,10,20,13
10074419,ABB  Busch CPL+KNOP V DR DIM SOLO/F S WIT,5,10,16
10016023,ABB  Busch CPL ANTENNE SOLO/FUTURE S-WIT,5,10,7
10016565,ABB  Busch CPL 2X MOD JACK SCHUIFJES S WI,5,10,6
10016558,ABB  Busch CPL BLIND S-STUDIOWIT,5,10,11
15124304,ABB  Busch DIMMER 600W INB,2,4,1
10158176,ABB  Busch WCD RA + PLAAT OPB AP ALPIN,5,10,3
10158178,ABB  Busch WCD RA DUBBEL + PLAAT OPB AP A,5,10,4
10158152,ABB  Busch SCHAK WIS +PLT OPB ALPIN STEEK,5,10,5
10158166,ABB  Busch COMBINATIE RA WIS +PLAAT OPB A,5,10,0
10016418,ABB  Busch CPL+GREEP V 2711U SOLO/F S-WIT,5,10,1
10002011,ABB  Busch WIP WISS R-SI R9010,10,20,12
15427501,ABB  Busch WIP SERIE R-SI R9010,10,20,11
10000446,ABB  Busch CPL+KNOP V DRAAIDIM R WIT,5,10,16
10002579,ABB  Busch CPL ANTENNE R WIT,5,10,11
00002015,ABB  Busch CPL 2X MOD JACK SCHUIFJES R-AW,5,10,10
10002220,ABB  Busch CPL BLIND MET DRAAGRAAM R WIT,5,10,8
15427609,ABB  Busch WIP WISS SI R1013,10,20,20
15427404,ABB  Busch WIP SERIE SI R1013,10,20,13
15420000,ABB  Busch CPL+KNOP V DRAAIDIM SI,5,10,10
15432602,ABB  Busch CPL ANTENNE SI,5,10,12
15416003,ABB  Busch CPL 2XMOD JACK SCHUIFJES SI,5,10,10
15433803,ABB  Busch CPL BLIND MET DRAAGRAAM SI,5,10,9
48021300,JMV METAALSCHROEF VERZONKEN KOP,200,1000,1000
48021407,JMV METAALSCHROEF VERZONKEN KOP,200,1000,500
48021504,JMV METAALSCHROEF VERZONKEN KOP,200,1000,800
48021601,JMV METAALSCHROEF VERZONKEN KOP,200,1000,600
48021709,JMV METAALSCHROEF VERZONKEN KOP,200,1000,600
10000487,JMV METAALSCHROEF VERZONKEN KOP,200,1000,350
67030009,Wago LASKLEM/KROONKL 1XSOEP/1XMASS,2,6,5,48
10136830,Wago LASKLEM 2V 0.14-4 +HENDEL,2,6,5
10136831,Wago LASKLEM 3V 0.14-4 +HENDEL,2,6,3,5
10136832,Wago LASKLEM 5V 0.14-4 +HENDEL,2,6,5,6
67031102,Wago LASKLEM 4V 0.6-0.8 GRIJS,2,6,3
46628100,Caddy SNAP CLIP FLENSD8/12 15-18MM,0,0,194
10075619,Wago LASKLEM 2V 0.5-2.5 WIT,2,6,2
10075620,Wago LASKLEM 3V 0.5-2.5 ORANJE,2,6,3,5
10075621,Wago LASKLEM 4V 0.5-2.5 ROOD,2,6,3,25
10075622,Wago LASKLEM 5V 0.5-2.5 GEEL,2,6,4,5
10075623,Wago LASKLEM 8V 0.5-2.5 GRIJS,2,6,3
10020304,Wago LASKLEM 3V 2.5-6MM TRANSP,2,6,2,68
29652502,ABB HAF KABELDOOS COMPLEET,10,25,43
10030756,Attema GIETMOFPAKKET + AK1 DS 2501,4,10,5
47321059,Mepac KLEMBEUGEL,400,1200,900
47321008,Mepac KLEMBEUGEL,400,1200,400
46135100,Mepac SPYKERCLIP,400,2400,2100
24213209,Attema PLAFONDPLAAT ROND 125MM WT,5,25,34
29358167,ABB HAF LASDOOS UNIVERSEEL,25,100,50
29358230,ABB HAF DUBBELE WCD+RA TBV 3611,10,25,11
29448018,ABB HAF DEKSEL BLIND TBV 3611,25,100,125
10019449,Attema CORRECTIERING INB DS 4MM,20,100,430
10019450,Attema CORRECTIERING INB DS 6MM,20,100,403
29215463,ABB HAF CORRECTIERING INB DS 4MM,40,100,246
10250812,ABB HAF HOLLE WANDDS 50MM 2X16/19MM,25,100,69
29445000,ABB HAF CENTRAALDOOSDEKSEL VIERK+HAAK,20,100,23
10293386,ABB HAF CENTRAALDOOSDEKSEL ROND+HAAK,20,100,60
23030100,Pipelife SOK PVC CONISCH 5/8,200,800,808
23130202,Pipelife SOK HZ 16MM 5/8,100,400,410
23130709,Pipelife SOK HZ 19MM 3/4,100,300,68
23031204,Pipelife SOK PVC 19MM 3/4 CR,100,300,300
24213004,Attema AFDEKPL ROND VEREND 95MM WIT,5,25,12
29251150,ABB HAF INZET 1X16MM V INB DS H/HW/189,25,100,92
29251230,ABB HAF INZET 2X16MM V INB DS H/HW/189,25,100,65
10028449,ABB HAF INBOUWDOOS UNV 40-50MM,50,200,188
24012653,Attema U40 INBOUWDOOS 16MM,50,200,260
24012157,Attema U50 INB DS 16MM,50,200,141
24210501,Attema CENTR DS CD80R ROND+TAPE 1619,5,20,14
29240000,ABB HAF INB DOOS PERILEX 16A,10,25,14
29247403,ABB HAF MONTAGEDOOS 16MM,10,20,44
10116299,Attema CENTR DS ONGELIJK CH60R 16/19,20,150,122
29241359,ABB HAF INB DOOS SCHOONMETSELWERK 58MM,10,20,12
29420407,ABB HAF CENTR DS VK ONGELIJK 55MM 16MM,20,50,50
10029138,Mennekes WCD 32A 5P OPB 400V TWINCONT,2,4,3
