Artikel plieger,Omschrijving,min,max,aantal
7541705,Viega Profipress-G sok SC koper 22mm 346508,5,15,11
7541704,Viega Profipress-G sok SC koper 15mm 346485,5,15,10
7541463,Viega Profipress sok SC koper 28mm 292676,5,15,11
7541464,Viega Profipress sok SC koper 22mm 292683,5,15,13
7541462,Viega Profipress sok SC koper 15mm 292690,5,15,29
7541461,Viega Profipress sok SC koper 12mm 292737,5,15,10
7541602,Viega Profipress-G bocht 90° SC koper 22mm 345488,5,15,2
7541601,Viega Profipress-G bocht 90° SC koper 15mm 345464,5,15,10
7541303,Viega Profipress bocht 90° SC koper 2 x pers 28mm 291525,5,15,5
7541302,Viega Profipress bocht 90° SC koper 2 x pers 22mm 291518,5,15,20
7541301,Viega Profipress bocht 90° SC koper 2 x pers 15mm 291501,5,15,20
7541300,Viega Profipress bocht 90° SC koper 2 x pers 12mm 291488,5,15,9
7541609,Viega Profipress-G bocht 90° SC koper pers x spie 22mm 345556,5,15,10
7541608,Viega Profipress-G bocht 90° SC koper pers x spie 15mm 345532,5,15,9
7541310,Viega Profipress bocht 90° SC koper spie x pers 291686,5,15,3
7541309,Viega Profipress bocht 90° SC koper spie x pers 291679,5,15,7
7541308,Viega Profipress bocht 90° SC koper spie x pers 291662,5,15,19
7541307,Viega Profipress bocht 90° SC koper spie x pers 291648,5,15,9
7541616,Viega Profipress-G bocht 45° SC koper 22mm 345624,5,15,4
7541615,Viega Profipress-G bocht 45° SC koper 15mm 345600,5,15,5
7541317,Viega Profipress bocht 45° SC koper 2 x pers 28mm 292362,5,15,9
7541316,Viega Profipress bocht 45° SC koper 2 x pers 22mm 292355,5,15,22
7541315,Viega Profipress bocht 45° SC koper 2 x pers 15mm 292348,5,15,27
7541314,Viega Profipress bocht 45° SC koper 2 x pers 12mm 292409,5,15,20
7541623,Viega Profipress-G bocht 45° SC koper pers x spie 22mm 345693,5,15,10
7541622,Viega Profipress-G bocht 45° SC koper pers x spie 15mm 345679,5,15,11
7541324,Viega Profipress bocht 45° SC koper spie x pers 28mm 292522,5,15,10
7541323,Viega Profipress bocht 45° SC koper spie x pers 22mm 292515,5,15,27
7541322,Viega Profipress bocht 45° SC koper spie x pers 15mm 292508,5,15,25
7541321,Viega Profipress bocht 45° SC koper spie x pers 12mm 292577,5,15,20
7541652,Viega Profipress-G T-stuk SC koper 3 x pers 22mm 345952,5,15,5
7541648,Viega Profipress-G T-stuk SC koper 3 x pers 15mm 345938,5,15,11
7541364,Viega Profipress T-stuk SC koper 3 x pers 28mm 291976,5,15,2
7541358,Viega Profipress T-stuk SC koper 3 x pers 22mm 291969,5,15,18
7541353,Viega Profipress T-stuk SC koper 3 x pers 15mm 291952,5,15,20
7541351,Viega Profipress T-stuk SC koper 3 x pers 12mm 291884,5,15,8
7541717,Viega Profipress-G verloopsok SC koper 22x15mm 346560,5,15,9
7541483,Viega Profipress verloopsok SC koper spie x pers 28x22mm 296506,5,15,11
7541482,Viega Profipress verloopsok SC koper spie x pers 28x15mm 296469,5,15,6
7541481,Viega Profipress verloopsok SC koper spie x pers 22x15mm 296377,5,15,2
7541480,Viega Profipress verloopsok SC koper spie x pers 15x12mm 296414,5,15,0
7541884,Viega Prestabo T-stuk SC verzinkt verlopend 22x15x15mm 642617,5,15,8
7541949,Viega Prestabo sok SC verzinkt 28mm 558017,5,15,1
7541948,Viega Prestabo sok SC verzinkt 22mm 558000,5,15,20
7541947,Viega Prestabo sok SC verzinkt 15mm 557980,5,15,18
7541465,Viega Profipress sok SC koper 35mm 292706,5,15,7
7541706,Viega Profipress-G sok SC koper 28mm 346515,5,15,0
7541880,Viega Prestabo T-stuk SC verzinkt verlopend 15x22x15mm 558857,5,15,11
7542009,Viega Prestabo bocht 90°SC verzinkt mof/mof 28mm 558154,5,15,25
7542008,Viega Prestabo bocht 90°SC verzinkt mof/mof 22mm 558147,5,15,14
7542007,Viega Prestabo bocht 90°SC verzinkt mof/mof 15mm 558123,5,15,38
7541361,Viega Profipress T-stuk SC koper verlopend 3 x pers 22x15x22mm 292027,5,15,13
7541604,Viega Profipress-G bocht 90° SC koper 35mm 345501,5,15,1
7541883,Viega Prestabo T-stuk SC verzinkt verlopend 22x15x22mm 558697,5,15,18
7541844,Viega Prestabo bocht 90°SC verzinkt mof/spie 28mm 558222,5,15,20
7541843,Viega Prestabo bocht 90°SC verzinkt mof/spie 22mm 558215,5,15,8
7541842,Viega Prestabo bocht 90°SC verzinkt mof/spie 15mm 558192,5,15,28
7541366,Viega Profipress T-stuk SC koper verlopend 3 x pers 28x15x28mm 295189,5,15,6
7541610,Viega Profipress-G bocht 90° SC koper pers x spie 28mm 345563,5,15,0
7541881,Viega Prestabo T-stuk SC verzinkt verlopend 22x22x15mm 642655,5,15,9
7541850,Viega Prestabo bocht 45°SC verzinkt mof/mof 28mm 558291,5,15,14
7541849,Viega Prestabo bocht 45°SC verzinkt mof/mof 22mm 558284,5,15,10
7541848,Viega Prestabo bocht 45°SC verzinkt mof/mof 15mm 558260,5,15,12
7541368,Viega Profipress T-stuk SC koper verlopend 3 x pers 28x22x28mm 295196,5,15,1
"7541907,Viega Prestabo T-stuk verlopend SC verzinkt bi.dr. 22x1/2""bix22mm 558901,5,15,12"
7541856,Viega Prestabo bocht 45°SC verzinkt mof/spie 28mm 558369,5,15,12
7541855,Viega Prestabo bocht 45°SC verzinkt mof/spie 22mm 558352,5,15,15
7541854,Viega Prestabo bocht 45°SC verzinkt mof/spie 15mm 558338,5,15,18
7541624,Viega Profipress-G bocht 45° SC koper pers x spie 28mm 345709,5,15,3
7541890,Viega Prestabo T-stuk SC verzinkt 35mm 558659,5,10,6
7541886,Viega Prestabo T-stuk SC verzinkt 28mm 558642,5,15,13
7541882,Viega Prestabo T-stuk SC verzinkt 22mm 558635,5,15,10
7541879,Viega Prestabo T-stuk SC verzinkt 15mm 558611,5,15,29
7541657,Viega Profipress-G T-stuk SC koper 3 x pers 28mm 345969,5,15,1
7541968,Viega Prestabo schuifsok SC verzinkt 28mm 558086,5,15,12
7541967,Viega Prestabo schuifsok SC verzinkt 22mm 558079,5,15,14
7541966,Viega Prestabo schuifsok SC verzinkt 15mm 558055,5,15,13
7541955,Viega Prestabo verloopsok SC verzinkt 28x22mm 558543,5,15,10
7541954,Viega Prestabo verloopsok SC verzinkt 28x15mm 558529,5,15,17
7541953,Viega Prestabo verloopsok SC verzinkt 22x15mm 558505,5,15,22
"7541918,Viega Prestabo overgangskoppeling SC verzinkt bu.dr. 15mmx1/2""bu 559007,5,15,5"
"7541930,Viega Prestabo overgangskoppeling SC verzinkt bi.dr. 15mmx1/2""bi 559557,5,15,6"
"8405033,Rehau Rautherm HKV-D knelkoppeling 17x2.0mm G3/4"" euroconus 12506071002,5,15,14"
8405896,Rehau Rautitan knelovergang 25x22mm LX+G 13130781001,5,15,0
8405895,Rehau Rautitan knelovergang 20x22mm LX+G 13141191001,5,15,2
8405894,Rehau Rautitan knelovergang 20x15mm LX+G 13141091001,5,15,0
