Artikel plieger,Omschrijving,aantal
7541705,sok SC koper,11
7541704,sok SC koper,10
7541463,sok SC koper,11
7541464,sok SC koper,13
7541462,sok SC koper,29
7541461,sok SC koper,10
7541602,bocht 90ø SC koper,2
7541601,bocht 90ø SC koper,10
7541303,bocht 90ø SC koper 2 x pers,5
7541302,bocht 90ø SC koper 2 x pers,20
7541301,bocht 90ø SC koper 2 x pers,20
7541300,bocht 90ø SC koper 2 x pers,9
7541609,bocht 90ø SC koper pers x spie,10
7541608,bocht 90ø SC koper pers x spie,9
7541310,bocht 90ø SC koper spie x pers,3
7541309,bocht 90ø SC koper spie x pers,7
7541308,bocht 90ø SC koper spie x pers,19
7541307,bocht 90ø SC koper spie x pers,9
7541616,bocht 45ø SC koper,4
7541615,bocht 45ø SC koper,5
7541317,bocht 45ø SC koper 2 x pers,9
7541316,bocht 45ø SC koper 2 x pers,22
7541315,bocht 45ø SC koper 2 x pers,27
7541314,bocht 45ø SC koper 2 x pers,20
7541623,bocht 45ø SC koper pers x spie,10
7541622,bocht 45ø SC koper pers x spie,11
7541324,bocht 45ø SC koper spie x pers,10
7541323,bocht 45ø SC koper spie x pers,27
7541322,bocht 45ø SC koper spie x pers,25
7541321,bocht 45ø SC koper spie x pers,20
7541652,T-stuk SC koper 3 x pers,5
7541648,T-stuk SC koper 3 x pers,11
7541364,T-stuk SC koper 3 x pers,2
7541358,T-stuk SC koper 3 x pers,18
7541353,T-stuk SC koper 3 x pers,20
7541351,T-stuk SC koper 3 x pers,8
7541717,verloopsok SC koper,9
7541483,verloopsok SC koper spie x pers,11
7541482,verloopsok SC koper spie x pers,6
7541481,verloopsok SC koper spie x pers,2
7541480,verloopsok SC koper spie x pers,0
7541884,T-stuk SC verzinkt verlopend,8
7541949,sok SC verzinkt,1
7541948,sok SC verzinkt,20
7541947,sok SC verzinkt,18
7541465,sok SC koper,7
7541706,sok SC koper,0
7541880,T-stuk SC verzinkt verlopend,11
7542009,bocht 90øSC verzinkt mof/mof,25
7542008,bocht 90øSC verzinkt mof/mof,14
7542007,bocht 90øSC verzinkt mof/mof,38
7541361,T-stuk SC koper verlopend 3 x pers,13
7541604,bocht 90ø SC koper,1
7541883,T-stuk SC verzinkt verlopend,18
7541844,bocht 90øSC verzinkt mof/spie,20
7541843,bocht 90øSC verzinkt mof/spie,8
7541842,bocht 90øSC verzinkt mof/spie,28
7541366,T-stuk SC koper verlopend 3 x pers,6
7541610,bocht 90ø SC koper pers x spie,0
7541881,T-stuk SC verzinkt verlopend,9
7541850,bocht 45øSC verzinkt mof/mof,14
7541849,bocht 45øSC verzinkt mof/mof,10
7541848,bocht 45øSC verzinkt mof/mof,12
7541368,T-stuk SC koper verlopend 3 x pers,1
7541907,T-stuk verlopend SC verzinkt bi.dr.,12
7541856,bocht 45øSC verzinkt mof/spie,12
7541855,bocht 45øSC verzinkt mof/spie,15
7541854,bocht 45øSC verzinkt mof/spie,18
7541624,bocht 45ø SC koper pers x spie,3
7541890,T-stuk SC verzinkt,6
7541886,T-stuk SC verzinkt,13
7541882,T-stuk SC verzinkt,10
7541879,T-stuk SC verzinkt,29
7541657,T-stuk SC koper 3 x pers,1
7541968,schuifsok SC verzinkt,12
7541967,schuifsok SC verzinkt,14
7541966,schuifsok SC verzinkt,13
7541955,verloopsok SC verzinkt,10
7541954,verloopsok SC verzinkt,17
7541953,verloopsok SC verzinkt,22
7541918,overgangskoppeling SC verzinkt bu.dr.,5
7541930,overgangskoppeling SC verzinkt bi.dr.,6
8405033,HKV-D knelkoppeling,14
8405896,knelovergang,0
8405895,knelovergang,2
8405894,knelovergang,0
8405701,knelkoppeling set stabil euroconus,50
8405630,knelkoppeling knie,0
8405628,knelkoppeling knie,4
8405629,knelkoppeling knie,12
7541933,overgangskoppeling SC verzinkt bi.dr.,10
8405858,overgangskoppeling m. buitendraad,1
8405859,overgangskoppeling m. buitendraad,3
8405860,overgangskoppeling m. buitendraad,11
8405861,overgangskoppeling m. buitendraad,10
7541923,overgangskoppeling SC verzinkt bu.dr.,0
8405863,overgangskoppeling m. buitendraad,2
8405573,knie-overgang m. buitendraad,11
8405574,knie-overgang m. buitendraad,0
8405575,knie-overgang m. buitendraad,0
7541936,overgangskoppeling SC verzinkt bi.dr.,6
8405334,T-stuk verloopaftakking en verloopdoorgang,23
8405344,T-stuk aftakking ge‰xpandeerd,11
8405313,schuifhuls,18
8405312,schuifhuls,51
8405311,schuifhuls,143
8405310,schuifhuls,133
8405320,T-stuk verloopaftakking,22
8405329,T-stuk verloopdoorgang,13
8405352,rechte koppeling gelijk,7
8405351,rechte koppeling gelijk,7
8405350,rechte koppeling gelijk,6
8405349,rechte koppeling gelijk,2
8405322,T-stuk verloopaftakking,7
8405321,T-stuk verloopaftakking,16
8405362,knie 90ø,8
8405361,knie 90ø,0
8405360,knie 90ø,34
8405359,knie 90ø,15
8405338,T-stuk verloopaftakking en verloopdoorgang,4
8405335,T-stuk verloopaftakking en verloopdoorgang,6
8405330,T-stuk verloopdoorgang,2
8405317,T-stuk gelijk,7
8405316,T-stuk gelijk,43
8405315,T-stuk gelijk,3
8405347,T-stuk aftakking ge‰xpandeerd,6
8405336,T-stuk verloopaftakking en verloopdoorgang,3
8405331,T-stuk verloopdoorgang,5
8405356,rechte koppeling verloop,11
8405355,rechte koppeling verloop,5
8405354,rechte koppeling verloop,22
8405887,muurplaat laag m. binnendraad,8
8405595,opbouw muurplaat,10
8403080,overgangskoppeling knel-soldeer,0
8403074,overgangskoppeling knel-soldeer,4
8404900,overgangskoppeling knel-soldeer,16
8403068,overgangskoppeling knel-soldeer,4
8405516,opbouw T-stuk aftakking m. binnendraad,2
8405514,opbouw T-stuk aftakking m. binnendraad,9
8405590,muurplaat hoog m. binnendraad,4
8405631,voorgemonteerde geminibeugel,10
8405632,voorgemonteerde geminibeugel,0
8302923,thermische motor,8
7501412,radiatorafsluiter recht,5
7501455,voetventiel recht,7
4058026,design afvoerplug vlak m. overloop,4
7500885,thermostaatkop,3
8302875,draadloze RF module aan/uit,2
7501546,thermostaatkop,2
7501374,radiatorafsluiter haaks,2
1602102,voetventiel haaks,6
520069,designbekersifon verkort rond m. muurbuis 30cm,1
7910052,bedieningen en benodigdheden,3
8303539,draadloze radiatorregelaar,1
7810245,expansievatbeugel 8-25L,7
7500876,thermostaatkop RAL9016,4
1602209,thermostatisch ventiel instelbaar recht,12
440310,hoekstopkraan m. rozet m. comfort greep,8
7972031,combi-tapkraan m. terugstroomklep,5
8303558,tafelstandaard + voedingskabel,1
7810024,overstortventiel,4
7501562,thermostaatkop,1
1602203,thermostatisch ventiel instelbaar haaks,4
710328,vlotterkraan Type 380 impuls,2
8303569,voedingsmodule v. wandmontage,3
1260250,inlaatcombinatie,2
7510624,handregelknop v. thermostaatkraan,5
1602221,thermostatisch radiatorventiel instelbaar dubbel haaks links,7
603287,doucheslang,2
2302748,waterslot multi/fixt,2
8303547,antenne module,1
1602236,H-onderblok haaks v. radiatoren,6
1602225,thermostatisch radiatorventiel instelbaar dubbel haaks rechts,5
2301121,sifonhuis m. onderuitlaat,2
7501498,RTL retourwatertemperatuurregelaar DN 15 recht,1
1602234,H-onderblok recht v. radiatoren,6
2130114,HWA bocht 45ø mof/spie,22
2130769,HWA x riool verloopstuk,10
2130823,HWA verbindingsmof,12
2151626,ABS stadsuitloop,3
2130009,HWA sifon mof/spie grijs,4
2130882,HWA vergaarbak m. tuit,3
2130173,HWA bocht 87ø mof/spie,16
2130254,HWA T-stuk 45ø 2xmof vernauwende spie,12
2130319,HWA T-stuk 87ø 2xmof vernauwende spie,13
2130165,HWA bocht 87ø mof/spie,3
2130106,HWA bocht 45ø mof/spie,3
2101368,HWA bocht 22.5ø mof/spie,1
2130289,HWA inzetverloopring,2
2130238,HWA inzetverloopring,3
2130610,HWA verbindingsmof,3
2130556,HWA bocht 87ø mof/vernauwende spie,6
2130521,HWA bocht 45ø mof/vernauwende spie,6
2130572,HWA T-stuk 45ø 2xmof vernauwende spie,4
2151022,PVC stadsuitloop,1
2130181,HWA bocht 87ø mof/spie,7
2130122,HWA bocht 45ø mof/spie,1
2130262,HWA T-stuk 45ø 2xmof vernauwende spie,1
2130831,HWA verbindingsmof,1
2100019,HWA inzetverloopring,1
2110113,PVC manchet bocht 45ø mof/spie,8
2110075,PVC manchet bocht 45ø mof/mof,9
2110555,PVC manchet overschuifmof,6
2110512,PVC manchet steekmof,8
2110180,PVC manchet bocht 90ø mof/spie,4
2110148,PVC manchet bocht 90ø mof/mof,0
2101157,PVC lijm einddop m. schroefdeksel in hulpstuk,3
2430437,zinken HWA bocht,9
2430438,zinken HWA bocht,6
2420565,zinken overschuifwrong,11
2420174,scharnierpijpbeugel m. moer M10, massief Rheinzink m. RVS schroefoog,21
2100282,PVC lijm bocht 45ø mof/mof,6
2100371,PVC lijm bocht 90ø mof/mof,7
2101041,PVC lijm dubbele mof,7
2100312,PVC lijm bocht 45ø mof/spie,11
2100428,PVC lijm bocht 90ø mof/spie,4
2100754,PVC lijm T-stuk 45ø 3xmof,5
2101726,PVC kap spie-eind,5
2100711,PVC lijm T-stuk 45ø 3xmof,3
2100738,PVC lijm T-stuk 45ø 3xmof,4
2100746,PVC lijm T-stuk 45ø 3xmof,3
2101440,PE speciedeksel,8
2101793,PVC kap spie-eind,3
2110547,PVC manchet overschuifmof,6
2110504,PVC manchet steekmof,6
2100185,PVC lijm bocht 15ø mof/mof,5
2101254,PVC lijm bocht 22ø mof/spie,6
2101297,PVC lijm bocht 30ø mof/mof,5
2100007,PVC lijm T-stuk 45ø 2xmof+1xspie,1
2100487,PVC lijm verloopring excentrisch,30
2100495,PVC lijm verloopring excentrisch,22
2100509,PVC lijm verloopring excentrisch,19
2101327,PVC lijm T-stuk 88ø 2xmof+1xspie,2
2100894,PVC lijm T-stuk 88ø 3xmof,4
2110067,PVC manchet bocht 45ø mof/mof,2
2110105,PVC manchet bocht 45ø mof/spie,3
2110059,PVC manchet bocht 30ø mof/mof,3
2100051,PVC manchet bocht 30ø mof/spie,3
2110016,PVC manchet bocht 15ø mof/mof,2
2110048,PVC manchet bocht 15ø mof/spie,4
2110121,PVC manchet bocht 90ø mof/mof,4
2110172,PVC manchet bocht 90ø mof/spie,4
2101432,PE speciedeksel,16
2101718,PVC kap spie-eind,11
2101033,PVC lijm dubbele mof,23
2100274,PVC lijm bocht 45ø mof/mof,20
2100363,PVC lijm bocht 90ø mof/mof,14
2100304,PVC lijm bocht 45ø mof/spie,17
2100401,PVC lijm bocht 90ø mof/spie,9
2100673,PVC lijm T-stuk 45ø 3xmof,5
2100681,PVC lijm T-stuk 45ø 3xmof,6
2100665,PVC lijm T-stuk 45ø 3xmof,6
2101025,PVC lijm dubbele mof,25
2100266,PVC lijm bocht 45ø mof/mof,20
2100355,PVC lijm bocht 90ø mof/mof,21
2100649,PVC lijm T-stuk 45ø 3xmof,16
2101831,PVC lijm bocht 45ø mof/spie,29
2101890,PVC lijm bocht 90ø mof/spie,36
2100630,PVC lijm T-stuk 45ø 3xmof,19
2100622,PVC lijm T-stuk 45ø 3xmof,4
2100843,PVC lijm T-stuk 88ø 3xmof,5
2101552,PVC overschuifmof,7
702054,PP riolerings overgangsstuk,2
702049,PP riolerings overgangsstuk,2
2101149,PVC lijm einddop m. schroefdeksel in hulpstuk,4
2101696,PVC kap spie-eind,8
2101424,PE speciedeksel,2
3017453,knel muurplaat messing bi.dr.,10
3010702,knel knie messing bi.dr.,10
1500678,beluchterkraan verchroomd z. wartel,2
8910472,knelkoppeling messing,11
8910448,knel knie messing,12
8910421,knel T-stuk messing,13
3010700,knel knie messing bi.dr.,14
8910642,knel verloopset messing,10
3010642,knel eindstop messing,9
3010584,knelkoppeling messing verlopend,9
3010566,knelkoppeling messing,11
8910065,knel knie messing,2
8910006,knel T-stuk messing,5
3010684,knel knie messing bu.dr.,8
3010644,knel eindstop messing,2
8910502,knel T-stuk verlopend messing bi.dr.,8
3010568,knelkoppeling messing,6
3010656,knel knie messing,8
8910014,knel T-stuk messing,7
3010606,knel puntstuk messing,4
3010688,knel knie messing bu.dr.,5
3010756,knel T-stuk verlopend messing,5
8910545,knel T-stuk verlopend messing bi.dr.,5
3010646,knel eindstop messing,8
8910405,knel wartelmoer messing,31
3010912,knelring messing,23
3010894,knel wartelmoer messing,17
3010914,knelring messing,35
3010602,knel puntstuk messing,2
8910030,knel T-stuk verlopend messing,7
3010752,knel T-stuk verlopend messing,6
3010588,knelkoppeling messing verlopend,5
3010572,knelkoppeling messing,5
3010658,knel knie messing,6
8910170,knel T-stuk messing,5
8910189,knel T-stuk verlopend messing,4
8910731,knel eindstop messing,1
8911126,knelkoppeling messing verlopend,6
2100991,PVC lijm dubbele mof,35
2101009,PVC lijm dubbele mof,80
2101017,PVC lijm dubbele mof,37
2100320,PVC lijm bocht 90ø mof/mof,29
2100339,PVC lijm bocht 90ø mof/mof,57
2100347,PVC lijm bocht 90ø mof/mof,18
2101866,PVC lijm bocht 90ø mof/spie,37
2101874,PVC lijm bocht 90ø mof/spie,41
2101882,PVC lijm bocht 90ø mof/spie,18
2100223,PVC lijm bocht 45ø mof/mof,45
2100231,PVC lijm bocht 45ø mof/mof,59
2100258,PVC lijm bocht 45ø mof/mof,63
2101610,PVC lijm bocht 45ø mof/spie,60
2101815,PVC lijm bocht 45ø mof/spie,77
2101823,PVC lijm bocht 45ø mof/spie,42
2100584,PVC lijm T-stuk 45ø 3xmof,31
2100592,PVC lijm T-stuk 45ø 3xmof,33
2100614,PVC lijm T-stuk 45ø 3xmof,13
2100789,PVC lijm T-stuk 88ø 3xmof,18
2100797,PVC lijm T-stuk 88ø 3xmof,9
2100819,PVC lijm T-stuk 88ø 3xmof,20
2113401,sifon PVC universeel,8
2113403,sifon PVC universeel,5
2113405,sifon PVC universeel,7
2100479,PVC lijm verloopring excentrisch,33
2100436,PVC lijm verloopring excentrisch,55
2100452,PVC lijm verloopring excentrisch,40
2101335,PVC overschuifmof,13
2101653,PVC kap spie-eind,15
2101394,PE speciedeksel,15
2101343,PVC overschuifmof,8
2101661,PVC kap spie-eind,22
2101408,PE speciedeksel,27
2101351,PVC overschuifmof,5
2101688,PVC kap spie-eind,15
2101416,PE speciedeksel,29
2100606,PVC lijm T-stuk 45ø 3xmof,8
2101696,PVC kap spie-eind,30
710295,sprongbocht (buisdikte 72mm),2
8842726,funderingshaak BUP,34
1741063,PVC beugel B zonder pen,5
8842724,funderingshaak BUP,17
1741071,PVC beugel B zonder pen,18
1741128,PVC beugel B zonder pen,4
1710311,zadel grijs type 180,22
8842702,funderingsbeugel BUP,34
1741136,PVC beugel B zonder pen HWA,12
1710338,zadel grijs type 180,46
8842706,funderingsbeugel BUP,32
1740091,PVC beugel B zonder pen HWA,2
1710346,zadel grijs type 180,38
8842722,klemschuif BUP m. schroef nr. 3,65
711922,flexifon flexibele rioolafvoerbocht,2
1741144,PVC beugel B zonder pen HWA,4
